Sample	Exp_ID	Ligand_no	Treatment	Ligand_concentration	Treament_type	Technical_rep	Exp_treat_rep_ID	Treatment_ID	DC_cell_number	OTII_cell_number	OVA_conc	Incubation	Genotype	Sex	Gmcsf_ug_mL	All_cells_percent	Live_cells_percent	Proliferation_percent	All_cells_number	Live_cells_number	Proliferation_number
E1_SeV_0_1_F_rep2	1	7	SeV	0_1	single	2	E1_SeV_0_1_2	SeV_0_1_2	10000	50000	200	3	TCRaKO	F	20	62.1	67.2	9.77	11830	7951	777
E1_SeV_0_01_F_rep1	1	7	SeV	0_01	single	1	E1_SeV_0_01_1	SeV_0_01_1	10000	50000	200	3	TCRaKO	F	20	59	58.4	6.38	15148	8843	564
E1_SeV_0_01_F_rep2	1	7	SeV	0_01	single	2	E1_SeV_0_01_2	SeV_0_01_2	10000	50000	200	3	TCRaKO	F	20	60.1	53.8	4.37	12644	6798	297
E1_cGAMP_100_F_rep1	1	7	cGAMP	100	single	1	E1_cGAMP_100_1	cGAMP_100_1	10000	50000	200	3	TCRaKO	F	20	70.9	85.7	52.3	35429	30372	15872
E1_cGAMP_100_F_rep2	1	7	cGAMP	100	single	2	E1_cGAMP_100_2	cGAMP_100_2	10000	50000	200	3	TCRaKO	F	20	72.4	87.9	75.7	65624	57686	43663
E1_cGAMP_50_F_rep1	1	7	cGAMP	50	single	1	E1_cGAMP_50_1	cGAMP_50_1	10000	50000	200	3	TCRaKO	F	20	74.6	90.7	69.3	53007	48085	33329
E1_cGAMP_50_F_rep2	1	7	cGAMP	50	single	2	E1_cGAMP_50_2	cGAMP_50_2	10000	50000	200	3	TCRaKO	F	20	74.2	90.7	70	53215	48270	33813
E1_cGAMP_20_F_rep1	1	7	cGAMP	20	single	1	E1_cGAMP_20_1	cGAMP_20_1	10000	50000	200	3	TCRaKO	F	20	73.9	84	27.9	24442	20541	5734
E1_cGAMP_20_F_rep2	1	7	cGAMP	20	single	2	E1_cGAMP_20_2	cGAMP_20_2	10000	50000	200	3	TCRaKO	F	20	74.9	88.9	48.3	36025	32043	15487
E1_cGAMP_10_F_rep1	1	7	cGAMP	10	single	1	E1_cGAMP_10_1	cGAMP_10_1	10000	50000	200	3	TCRaKO	F	20	65.2	73.1	12.3	16535	12088	1488
E1_cGAMP_10_F_rep2	1	7	cGAMP	10	single	2	E1_cGAMP_10_2	cGAMP_10_2	10000	50000	200	3	TCRaKO	F	20	73.1	83.8	22.1	18729	15704	3466
E1_cGAMP_1_F_rep1	1	7	cGAMP	1	single	1	E1_cGAMP_1_1	cGAMP_1_1	10000	50000	200	3	TCRaKO	F	20	61.5	65.6	5.24	13978	9173	481
E1_cGAMP_1_F_rep2	1	7	cGAMP	1	single	2	E1_cGAMP_1_2	cGAMP_1_2	10000	50000	200	3	TCRaKO	F	20	65.1	73.3	3.58	15272	11188	401
E1_cGAMP_0_1_F_rep1	1	7	cGAMP	0_1	single	1	E1_cGAMP_0_1_1	cGAMP_0_1_1	10000	50000	200	3	TCRaKO	F	20	56.6	58.6	3.6	11316	6633	239
E1_cGAMP_0_1_F_rep2	1	7	cGAMP	0_1	single	2	E1_cGAMP_0_1_2	cGAMP_0_1_2	10000	50000	200	3	TCRaKO	F	20	57.3	59.3	6.43	10520	6241	401
E1_CpGB_100_F_rep1	1	7	CpGB	100	single	1	E1_CpGB_100_1	CpGB_100_1	10000	50000	200	3	TCRaKO	F	20	83.6	59.7	44.2	69198	41309	18262
E1_CpGB_100_F_rep2	1	7	CpGB	100	single	2	E1_CpGB_100_2	CpGB_100_2	10000	50000	200	3	TCRaKO	F	20	83.1	63.6	50.8	73902	47036	23882
E1_CpGB_50_F_rep1	1	7	CpGB	50	single	1	E1_CpGB_50_1	CpGB_50_1	10000	50000	200	3	TCRaKO	F	20	77.9	77.8	50.3	57091	44408	22325
E1_CpGB_50_F_rep2	1	7	CpGB	50	single	2	E1_CpGB_50_2	CpGB_50_2	10000	50000	200	3	TCRaKO	F	20	79.9	76	52.4	64500	49046	25690
E1_CpGB_20_F_rep1	1	7	CpGB	20	single	1	E1_CpGB_20_1	CpGB_20_1	10000	50000	200	3	TCRaKO	F	20	80.7	87.2	67.3	74103	64639	43481
E1_CpGB_20_F_rep2	1	7	CpGB	20	single	2	E1_CpGB_20_2	CpGB_20_2	10000	50000	200	3	TCRaKO	F	20	73.8	102	70.2	64413	65408	45886
E1_CpGB_10_F_rep1	1	7	CpGB	10	single	1	E1_CpGB_10_1	CpGB_10_1	10000	50000	200	3	TCRaKO	F	20	82	91.9	61.6	60987	56042	34506
E1_CpGB_10_F_rep2	1	7	CpGB	10	single	2	E1_CpGB_10_2	CpGB_10_2	10000	50000	200	3	TCRaKO	F	20	78.8	89.8	50.3	44673	40117	20172
E1_CpGB_1_F_rep1	1	7	CpGB	1	single	1	E1_CpGB_1_1	CpGB_1_1	10000	50000	200	3	TCRaKO	F	20	83	90.9	56.6	48787	44337	25107
E1_CpGB_1_F_rep2	1	7	CpGB	1	single	2	E1_CpGB_1_2	CpGB_1_2	10000	50000	200	3	TCRaKO	F	20	78.6	89.3	52.3	45235	40381	21103
E1_CpGB_0_1_F_rep1	1	7	CpGB	0_1	single	1	E1_CpGB_0_1_1	CpGB_0_1_1	10000	50000	200	3	TCRaKO	F	20	66.9	67.5	13	16757	11305	1472
E1_CpGB_0_1_F_rep2	1	7	CpGB	0_1	single	2	E1_CpGB_0_1_2	CpGB_0_1_2	10000	50000	200	3	TCRaKO	F	20	63.2	62.4	10.3	14519	9054	934
E1_Ctrl_NA_F_rep1	1	7	Ctrl	NA	single	1	E1_Ctrl_NA_1	Ctrl_NA_1	10000	50000	200	3	TCRaKO	F	20	73.7	81.8	5.83	16178	13231	771
E1_Ctrl_NA_F_rep2	1	7	Ctrl	NA	single	2	E1_Ctrl_NA_2	Ctrl_NA_2	10000	50000	200	3	TCRaKO	F	20	59.6	46.5	3.54	13192	6137	217
E3_PAM_0_01_M_rep1	3	7	PAM	0_01	single	1	E3_PAM_0_01_M_1	PAM_0_01_M_1	10000	50000	200	3	TCRaKO	M	15	68.7	66.6	6.3	8322	5541	349
E3_PAM_0_01_M_rep2	3	7	PAM	0_01	single	2	E3_PAM_0_01_M_2	PAM_0_01_M_2	10000	50000	200	3	TCRaKO	M	15	63.6	61.4	9.36	7670	4713	441
E3_PAM_0_01_M_rep3	3	7	PAM	0_01	single	3	E3_PAM_0_01_M_3	PAM_0_01_M_3	10000	50000	200	3	TCRaKO	M	15	61.7	48.8	2.53	7613	3716	94
E3_PAM_0_1_M_rep1	3	7	PAM	0_1	single	1	E3_PAM_0_1_M_1	PAM_0_1_M_1	10000	50000	200	3	TCRaKO	M	15	66.5	61.7	4.8	7769	4793	230
E3_PAM_0_1_M_rep2	3	7	PAM	0_1	single	2	E3_PAM_0_1_M_2	PAM_0_1_M_2	10000	50000	200	3	TCRaKO	M	15	62.7	51.2	1.92	7624	3903	75
E3_PAM_0_1_M_rep3	3	7	PAM	0_1	single	3	E3_PAM_0_1_M_3	PAM_0_1_M_3	10000	50000	200	3	TCRaKO	M	15	63.2	49.5	6.05	8658	4283	259
E3_PAM_1_M_rep1	3	7	PAM	1	single	1	E3_PAM_1_M_1	PAM_1_M_1	10000	50000	200	3	TCRaKO	M	15	74.2	61.8	24.9	12493	7721	1923
E3_PAM_1_M_rep2	3	7	PAM	1	single	2	E3_PAM_1_M_2	PAM_1_M_2	10000	50000	200	3	TCRaKO	M	15	68	66.8	8.6	10083	6732	579
E3_PAM_1_M_rep3	3	7	PAM	1	single	3	E3_PAM_1_M_3	PAM_1_M_3	10000	50000	200	3	TCRaKO	M	15	65.5	51.1	6.56	9418	4815	316
E3_PAM_10_M_rep1	3	7	PAM	10	single	1	E3_PAM_10_M_1	PAM_10_M_1	10000	50000	200	3	TCRaKO	M	15	77.3	81	16.2	14944	12099	1959
E3_PAM_10_M_rep2	3	7	PAM	10	single	2	E3_PAM_10_M_2	PAM_10_M_2	10000	50000	200	3	TCRaKO	M	15	76	82.1	27.7	16500	13544	3756
E3_PAM_10_M_rep3	3	7	PAM	10	single	3	E3_PAM_10_M_3	PAM_10_M_3	10000	50000	200	3	TCRaKO	M	15	71.7	80.1	22.4	13681	10961	2457
E3_PAM_100_M_rep1	3	7	PAM	100	single	1	E3_PAM_100_M_1	PAM_100_M_1	10000	50000	200	3	TCRaKO	M	15	76	84.1	40.4	23836	20035	8102
E3_PAM_100_M_rep2	3	7	PAM	100	single	2	E3_PAM_100_M_2	PAM_100_M_2	10000	50000	200	3	TCRaKO	M	15	79.3	85	46.1	26249	22317	10285
E3_PAM_100_M_rep3	3	7	PAM	100	single	3	E3_PAM_100_M_3	PAM_100_M_3	10000	50000	200	3	TCRaKO	M	15	76	83.7	41.1	25469	21326	8771
E3_PAM_250_M_rep1	3	7	PAM	250	single	1	E3_PAM_250_M_1	PAM_250_M_1	10000	50000	200	3	TCRaKO	M	15	75.3	78.8	45.9	27902	21997	10098
E3_PAM_250_M_rep2	3	7	PAM	250	single	2	E3_PAM_250_M_2	PAM_250_M_2	10000	50000	200	3	TCRaKO	M	15	76.4	80.8	46.6	28237	22804	10636
E3_PAM_250_M_rep3	3	7	PAM	250	single	3	E3_PAM_250_M_3	PAM_250_M_3	10000	50000	200	3	TCRaKO	M	15	70.5	80.3	47.7	27455	22044	10512
E3_PAM_500_M_rep1	3	7	PAM	500	single	1	E3_PAM_500_M_1	PAM_500_M_1	10000	50000	200	3	TCRaKO	M	15	75.6	81.4	56.2	33578	27341	15378
E3_PAM_500_M_rep2	3	7	PAM	500	single	2	E3_PAM_500_M_2	PAM_500_M_2	10000	50000	200	3	TCRaKO	M	15	76.2	79.2	52.3	30002	23750	12418
E3_PAM_500_M_rep3	3	7	PAM	500	single	3	E3_PAM_500_M_3	PAM_500_M_3	10000	50000	200	3	TCRaKO	M	15	72.7	78.4	51.7	27009	21186	10955
E3_PAM_1000_M_rep1	3	7	PAM	1000	single	1	E3_PAM_1000_M_1	PAM_1000_M_1	10000	50000	200	3	TCRaKO	M	15	71.3	77.9	49.8	29624	23084	11486
E3_PAM_1000_M_rep2	3	7	PAM	1000	single	2	E3_PAM_1000_M_2	PAM_1000_M_2	10000	50000	200	3	TCRaKO	M	15	78.5	80.4	58.4	34571	27802	16244
E3_PAM_1000_M_rep3	3	7	PAM	1000	single	3	E3_PAM_1000_M_3	PAM_1000_M_3	10000	50000	200	3	TCRaKO	M	15	67.8	75.8	48.2	29159	22116	10664
E3_LPS_0_01_M_rep1	3	7	LPS	0_01	single	1	E3_LPS_0_01_M_1	LPS_0_01_M_1	10000	50000	200	3	TCRaKO	M	15	63.3	50.7	2.24	6348	3220	72
E3_LPS_0_01_M_rep2	3	7	LPS	0_01	single	2	E3_LPS_0_01_M_2	LPS_0_01_M_2	10000	50000	200	3	TCRaKO	M	15	63.1	35.9	2.83	8673	3115	88
E3_LPS_0_01_M_rep3	3	7	LPS	0_01	single	3	E3_LPS_0_01_M_3	LPS_0_01_M_3	10000	50000	200	3	TCRaKO	M	15	58.4	42.3	1.37	7577	3204	44
E3_LPS_0_1_M_rep1	3	7	LPS	0_1	single	1	E3_LPS_0_1_M_1	LPS_0_1_M_1	10000	50000	200	3	TCRaKO	M	15	66.2	50.9	3.55	7191	3657	130
E3_LPS_0_1_M_rep2	3	7	LPS	0_1	single	2	E3_LPS_0_1_M_2	LPS_0_1_M_2	10000	50000	200	3	TCRaKO	M	15	66.1	39.2	0.95	8343	3268	31
E3_LPS_0_1_M_rep3	3	7	LPS	0_1	single	3	E3_LPS_0_1_M_3	LPS_0_1_M_3	10000	50000	200	3	TCRaKO	M	15	60.3	36.1	0.92	9004	3249	30
E3_LPS_1_M_rep1	3	7	LPS	1	single	1	E3_LPS_1_M_1	LPS_1_M_1	10000	50000	200	3	TCRaKO	M	15	71	70.1	3.5	9407	6594	231
E3_LPS_1_M_rep2	3	7	LPS	1	single	2	E3_LPS_1_M_2	LPS_1_M_2	10000	50000	200	3	TCRaKO	M	15	63.9	35.1	2.23	9436	3315	74
E3_LPS_1_M_rep3	3	7	LPS	1	single	3	E3_LPS_1_M_3	LPS_1_M_3	10000	50000	200	3	TCRaKO	M	15	64.6	53.7	4.93	9555	5130	253
E3_LPS_10_M_rep1	3	7	LPS	10	single	1	E3_LPS_10_M_1	LPS_10_M_1	10000	50000	200	3	TCRaKO	M	15	76.9	84.9	29.1	15768	13394	3899
E3_LPS_10_M_rep2	3	7	LPS	10	single	2	E3_LPS_10_M_2	LPS_10_M_2	10000	50000	200	3	TCRaKO	M	15	73.9	77.5	21.9	13847	10733	2355
E3_LPS_10_M_rep3	3	7	LPS	10	single	3	E3_LPS_10_M_3	LPS_10_M_3	10000	50000	200	3	TCRaKO	M	15	71	77.2	20.6	13254	10235	2111
E3_LPS_100_M_rep1	3	7	LPS	100	single	1	E3_LPS_100_M_1	LPS_100_M_1	10000	50000	200	3	TCRaKO	M	15	78.7	85.3	31	18356	15665	4860
E3_LPS_100_M_rep2	3	7	LPS	100	single	2	E3_LPS_100_M_2	LPS_100_M_2	10000	50000	200	3	TCRaKO	M	15	78.4	83.8	35.1	16596	13912	4887
E3_LPS_100_M_rep3	3	7	LPS	100	single	3	E3_LPS_100_M_3	LPS_100_M_3	10000	50000	200	3	TCRaKO	M	15	78.4	85.7	44.5	22062	18901	8412
E3_LPS_200_M_rep1	3	7	LPS	200	single	1	E3_LPS_200_M_1	LPS_200_M_1	10000	50000	200	3	TCRaKO	M	15	77.4	84.6	33.7	19964	16880	5693
E3_LPS_200_M_rep2	3	7	LPS	200	single	2	E3_LPS_200_M_2	LPS_200_M_2	10000	50000	200	3	TCRaKO	M	15	73.6	81.3	28.5	17746	14427	4114
E3_LPS_200_M_rep3	3	7	LPS	200	single	3	E3_LPS_200_M_3	LPS_200_M_3	10000	50000	200	3	TCRaKO	M	15	75.8	82.3	32	18985	15630	5002
E3_LPS_500_M_rep1	3	7	LPS	500	single	1	E3_LPS_500_M_1	LPS_500_M_1	10000	50000	200	3	TCRaKO	M	15	78.2	85.6	37.9	22726	19463	7383
E3_LPS_500_M_rep2	3	7	LPS	500	single	2	E3_LPS_500_M_2	LPS_500_M_2	10000	50000	200	3	TCRaKO	M	15	79.3	86.9	48	25452	22108	10614
E3_LPS_500_M_rep3	3	7	LPS	500	single	3	E3_LPS_500_M_3	LPS_500_M_3	10000	50000	200	3	TCRaKO	M	15	79.1	87.1	51.7	27022	23532	12161
E3_LPS_1000_M_rep1	3	7	LPS	1000	single	1	E3_LPS_1000_M_1	LPS_1000_M_1	10000	50000	200	3	TCRaKO	M	15	81.2	86.6	47.5	24778	21450	10187
E3_LPS_1000_M_rep2	3	7	LPS	1000	single	2	E3_LPS_1000_M_2	LPS_1000_M_2	10000	50000	200	3	TCRaKO	M	15	77.9	82.5	43.3	23571	19450	8427
E3_LPS_1000_M_rep3	3	7	LPS	1000	single	3	E3_LPS_1000_M_3	LPS_1000_M_3	10000	50000	200	3	TCRaKO	M	15	78	87	58.8	28731	24997	14706
E3_HMW_0_1_M_rep1	3	7	HMW	0_1	single	1	E3_HMW_0_1_M_1	HMW_0_1_M_1	10000	50000	200	3	TCRaKO	M	15	61.2	54.5	4.83	6189	3375	163
E3_HMW_0_1_M_rep2	3	7	HMW	0_1	single	2	E3_HMW_0_1_M_2	HMW_0_1_M_2	10000	50000	200	3	TCRaKO	M	15	62.7	54.9	7.63	6563	3604	275
E3_HMW_0_1_M_rep3	3	7	HMW	0_1	single	3	E3_HMW_0_1_M_3	HMW_0_1_M_3	10000	50000	200	3	TCRaKO	M	15	62.8	40.8	3.19	6904	2819	90
E3_HMW_1_M_rep1	3	7	HMW	1	single	1	E3_HMW_1_M_1	HMW_1_M_1	10000	50000	200	3	TCRaKO	M	15	61.1	49.4	4.61	6718	3321	153
E3_HMW_1_M_rep2	3	7	HMW	1	single	2	E3_HMW_1_M_2	HMW_1_M_2	10000	50000	200	3	TCRaKO	M	15	59.4	40.7	1.72	6701	2725	47
E3_HMW_1_M_rep3	3	7	HMW	1	single	3	E3_HMW_1_M_3	HMW_1_M_3	10000	50000	200	3	TCRaKO	M	15	61.7	40.3	1.13	6786	2732	31
E3_HMW_10_M_rep1	3	7	HMW	10	single	1	E3_HMW_10_M_1	HMW_10_M_1	10000	50000	200	3	TCRaKO	M	15	62.8	66.4	5.45	6023	4001	218
E3_HMW_10_M_rep2	3	7	HMW	10	single	2	E3_HMW_10_M_2	HMW_10_M_2	10000	50000	200	3	TCRaKO	M	15	64.4	57.8	1.71	6257	3616	62
E3_HMW_10_M_rep3	3	7	HMW	10	single	3	E3_HMW_10_M_3	HMW_10_M_3	10000	50000	200	3	TCRaKO	M	15	61.2	43.2	2.59	6423	2776	72
E3_HMW_20_M_rep1	3	7	HMW	20	single	1	E3_HMW_20_M_1	HMW_20_M_1	10000	50000	200	3	TCRaKO	M	15	60.4	57.4	2.58	6224	3572	92
E3_HMW_20_M_rep2	3	7	HMW	20	single	2	E3_HMW_20_M_2	HMW_20_M_2	10000	50000	200	3	TCRaKO	M	15	62.7	63.9	3.73	5338	3409	127
E3_HMW_20_M_rep3	3	7	HMW	20	single	3	E3_HMW_20_M_3	HMW_20_M_3	10000	50000	200	3	TCRaKO	M	15	61.8	48.1	2.28	5916	2845	65
E3_HMW_50_M_rep1	3	7	HMW	50	single	1	E3_HMW_50_M_1	HMW_50_M_1	10000	50000	200	3	TCRaKO	M	15	64	63.3	3.43	6868	4348	149
E3_HMW_50_M_rep2	3	7	HMW	50	single	2	E3_HMW_50_M_2	HMW_50_M_2	10000	50000	200	3	TCRaKO	M	15	61.7	57.3	4.19	6214	3558	149
E3_HMW_50_M_rep3	3	7	HMW	50	single	3	E3_HMW_50_M_3	HMW_50_M_3	10000	50000	200	3	TCRaKO	M	15	61.3	64.2	4.98	5630	3613	180
E3_HMW_100_M_rep1	3	7	HMW	100	single	1	E3_HMW_100_M_1	HMW_100_M_1	10000	50000	200	3	TCRaKO	M	15	68.6	74.5	10.6	9483	7069	749
E3_HMW_100_M_rep2	3	7	HMW	100	single	2	E3_HMW_100_M_2	HMW_100_M_2	10000	50000	200	3	TCRaKO	M	15	65.4	65.9	7.84	7874	5189	407
E3_HMW_100_M_rep3	3	7	HMW	100	single	3	E3_HMW_100_M_3	HMW_100_M_3	10000	50000	200	3	TCRaKO	M	15	64.7	53.2	5.39	7215	3837	207
E3_Zymosan_0_1_M_rep1	3	7	Zymosan	0_1	single	1	E3_Zymosan_0_1_M_1	Zymosan_0_1_M_1	10000	50000	200	3	TCRaKO	M	15	60.9	65.7	6.41	6862	4508	289
E3_Zymosan_0_1_M_rep2	3	7	Zymosan	0_1	single	2	E3_Zymosan_0_1_M_2	Zymosan_0_1_M_2	10000	50000	200	3	TCRaKO	M	15	60	38.1	0.26	6969	2656	7
E3_Zymosan_0_1_M_rep3	3	7	Zymosan	0_1	single	3	E3_Zymosan_0_1_M_3	Zymosan_0_1_M_3	10000	50000	200	3	TCRaKO	M	15	62	43.8	3.89	7579	3317	129
E3_Zymosan_1_M_rep1	3	7	Zymosan	1	single	1	E3_Zymosan_1_M_1	Zymosan_1_M_1	10000	50000	200	3	TCRaKO	M	15	66.2	64.1	4.09	8927	5723	234
E3_Zymosan_1_M_rep2	3	7	Zymosan	1	single	2	E3_Zymosan_1_M_2	Zymosan_1_M_2	10000	50000	200	3	TCRaKO	M	15	60.1	41.1	1.47	6474	2658	39
E3_Zymosan_1_M_rep3	3	7	Zymosan	1	single	3	E3_Zymosan_1_M_3	Zymosan_1_M_3	10000	50000	200	3	TCRaKO	M	15	62.2	35	0.48	7734	2710	13
E3_Zymosan_10_M_rep1	3	7	Zymosan	10	single	1	E3_Zymosan_10_M_1	Zymosan_10_M_1	10000	50000	200	3	TCRaKO	M	15	68.9	68.7	4.73	10128	6957	329
E3_Zymosan_10_M_rep2	3	7	Zymosan	10	single	2	E3_Zymosan_10_M_2	Zymosan_10_M_2	10000	50000	200	3	TCRaKO	M	15	63	45.5	0.85	6435	2927	25
E3_Zymosan_10_M_rep3	3	7	Zymosan	10	single	3	E3_Zymosan_10_M_3	Zymosan_10_M_3	10000	50000	200	3	TCRaKO	M	15	60.2	48.8	1.42	6221	3034	43
E3_Zymosan_20_M_rep1	3	7	Zymosan	20	single	1	E3_Zymosan_20_M_1	Zymosan_20_M_1	10000	50000	200	3	TCRaKO	M	15	58.4	59.8	7.93	6350	3795	301
E3_Zymosan_20_M_rep2	3	7	Zymosan	20	single	2	E3_Zymosan_20_M_2	Zymosan_20_M_2	10000	50000	200	3	TCRaKO	M	15	64.1	61.7	4.01	6431	3968	159
E3_Zymosan_20_M_rep3	3	7	Zymosan	20	single	3	E3_Zymosan_20_M_3	Zymosan_20_M_3	10000	50000	200	3	TCRaKO	M	15	60.7	51.6	4.03	6403	3303	133
E3_Zymosan_30_M_rep1	3	7	Zymosan	30	single	1	E3_Zymosan_30_M_1	Zymosan_30_M_1	10000	50000	200	3	TCRaKO	M	15	67.1	70.3	19.3	8676	6102	1177
E3_Zymosan_30_M_rep2	3	7	Zymosan	30	single	2	E3_Zymosan_30_M_2	Zymosan_30_M_2	10000	50000	200	3	TCRaKO	M	15	66.9	64.6	12.9	7594	4903	631
E3_Zymosan_30_M_rep3	3	7	Zymosan	30	single	3	E3_Zymosan_30_M_3	Zymosan_30_M_3	10000	50000	200	3	TCRaKO	M	15	63.4	65	11.6	7685	4998	578
E3_Zymosan_60_M_rep1	3	7	Zymosan	60	single	1	E3_Zymosan_60_M_1	Zymosan_60_M_1	10000	50000	200	3	TCRaKO	M	15	72.3	79.5	33.9	12453	9895	3356
E3_Zymosan_60_M_rep2	3	7	Zymosan	60	single	2	E3_Zymosan_60_M_2	Zymosan_60_M_2	10000	50000	200	3	TCRaKO	M	15	69.6	72.9	23.6	9092	6630	1562
E3_Zymosan_60_M_rep3	3	7	Zymosan	60	single	3	E3_Zymosan_60_M_3	Zymosan_60_M_3	10000	50000	200	3	TCRaKO	M	15	73.3	79.4	39	13128	10422	4062
E3_Zymosan_100_M_rep1	3	7	Zymosan	100	single	1	E3_Zymosan_100_M_1	Zymosan_100_M_1	10000	50000	200	3	TCRaKO	M	15	69.5	80.7	43.3	14476	11681	5057
E3_Zymosan_100_M_rep2	3	7	Zymosan	100	single	2	E3_Zymosan_100_M_2	Zymosan_100_M_2	10000	50000	200	3	TCRaKO	M	15	71.9	79	35.5	12900	10187	3617
E3_Zymosan_100_M_rep3	3	7	Zymosan	100	single	3	E3_Zymosan_100_M_3	Zymosan_100_M_3	10000	50000	200	3	TCRaKO	M	15	71.3	81.2	41.8	14613	11871	4968
E3_SeV_0_01_M_rep1	3	7	SeV	0_01	single	1	E3_SeV_0_01_M_1	SeV_0_01_M_1	10000	50000	200	3	TCRaKO	M	15	56.4	39.1	2.37	8005	3127	74
E3_SeV_0_01_M_rep2	3	7	SeV	0_01	single	2	E3_SeV_0_01_M_2	SeV_0_01_M_2	10000	50000	200	3	TCRaKO	M	15	53.5	54.5	5.89	6565	3581	211
E3_SeV_0_01_M_rep3	3	7	SeV	0_01	single	3	E3_SeV_0_01_M_3	SeV_0_01_M_3	10000	50000	200	3	TCRaKO	M	15	58.2	39.4	2.07	7334	2893	60
E3_SeV_0_1_M_rep1	3	7	SeV	0_1	single	1	E3_SeV_0_1_M_1	SeV_0_1_M_1	10000	50000	200	3	TCRaKO	M	15	59.4	55.2	1.06	7869	4341	46
E3_SeV_0_1_M_rep2	3	7	SeV	0_1	single	2	E3_SeV_0_1_M_2	SeV_0_1_M_2	10000	50000	200	3	TCRaKO	M	15	56.7	46.6	2.78	7428	3458	96
E3_SeV_0_1_M_rep3	3	7	SeV	0_1	single	3	E3_SeV_0_1_M_3	SeV_0_1_M_3	10000	50000	200	3	TCRaKO	M	15	55.3	49.6	3.53	6499	3225	114
E3_SeV_1_M_rep1	3	7	SeV	1	single	1	E3_SeV_1_M_1	SeV_1_M_1	10000	50000	200	3	TCRaKO	M	15	60.2	62	8.08	8399	5209	421
E3_SeV_1_M_rep2	3	7	SeV	1	single	2	E3_SeV_1_M_2	SeV_1_M_2	10000	50000	200	3	TCRaKO	M	15	54.1	67.6	6.12	7686	5195	318
E3_SeV_1_M_rep3	3	7	SeV	1	single	3	E3_SeV_1_M_3	SeV_1_M_3	10000	50000	200	3	TCRaKO	M	15	58.3	56.8	3.88	6894	3919	152
E3_SeV_10_M_rep1	3	7	SeV	10	single	1	E3_SeV_10_M_1	SeV_10_M_1	10000	50000	200	3	TCRaKO	M	15	63	75.2	22.9	11326	8520	1952
E3_SeV_10_M_rep2	3	7	SeV	10	single	2	E3_SeV_10_M_2	SeV_10_M_2	10000	50000	200	3	TCRaKO	M	15	59.5	73.9	19.1	9232	6824	1305
E3_SeV_10_M_rep3	3	7	SeV	10	single	3	E3_SeV_10_M_3	SeV_10_M_3	10000	50000	200	3	TCRaKO	M	15	60.8	64.2	12.3	8301	5326	657
E3_SeV_20_M_rep1	3	7	SeV	20	single	1	E3_SeV_20_M_1	SeV_20_M_1	10000	50000	200	3	TCRaKO	M	15	65.7	77.3	32.9	13335	10307	3387
E3_SeV_20_M_rep2	3	7	SeV	20	single	2	E3_SeV_20_M_2	SeV_20_M_2	10000	50000	200	3	TCRaKO	M	15	66.6	79.1	35.6	11775	9315	3313
E3_SeV_20_M_rep3	3	7	SeV	20	single	3	E3_SeV_20_M_3	SeV_20_M_3	10000	50000	200	3	TCRaKO	M	15	66.9	78.1	39.1	12705	9928	3879
